ANALS_TRGET_YEAR,ANALS_TRGET_MT,AGE_FLAG_NM,KWRD_RANK_CO,KWRD_NM,FQ_CO
"2021","10","20대","1","사람","4884"
"2021","10","20대","2","자신","2256"
"2021","10","20대","3","사랑","1892"
"2021","10","20대","4","세계","1796"
"2021","10","20대","5","생각","1715"
"2021","10","20대","6","시작","1475"
"2021","10","20대","7","독자","1415"
"2021","10","20대","8","투자","1377"
"2021","10","20대","9","인생","1337"
"2021","10","20대","10","마음","1298"
"2021","10","20대","11","방법","1251"
"2021","10","20대","12","이유","1209"
"2021","10","20대","13","문제","1018"
"2021","10","20대","14","시간","1001"
"2021","10","20대","15","필요","976"
"2021","10","20대","16","미국","972"
"2021","10","20대","17","인간","953"
"2021","10","20대","18","가지","906"
"2021","10","20대","19","사회","901"
"2021","10","20대","20","행복","880"
"2021","10","20대","21","일본","877"
"2021","10","20대","22","기록","824"
"2021","10","20대","23","시대","819"
"2021","10","20대","24","누구","799"
"2021","10","20대","25","세상","787"
"2021","10","20대","26","이해","731"
"2021","10","20대","27","여성","722"
"2021","10","20대","27","성공","722"
"2021","10","20대","29","베스트셀러","715"
"2021","10","20대","30","감정","711"
"2021","10","20대","31","최고","708"
"2021","10","20대","32","다양","703"
"2021","10","20대","33","경험","685"
"2021","10","20대","34","공부","674"
"2021","10","20대","35","존재","665"
"2021","10","20대","36","역사","648"
"2021","10","20대","37","의미","646"
"2021","10","20대","38","경제","642"
"2021","10","20대","39","질문","639"
"2021","10","20대","40","선택","635"
"2021","10","20대","41","습관","629"
"2021","10","20대","42","관계","623"
"2021","10","20대","43","미래","622"
"2021","10","20대","44","죽음","621"
"2021","10","20대","45","한국","620"
"2021","10","20대","46","부자","600"
"2021","10","20대","47","기업","598"
"2021","10","20대","47","변화","598"
"2021","10","20대","49","과정","591"
"2021","10","20대","50","지식","569"
"2021","10","20대","51","현실","562"
"2021","10","20대","52","사실","557"
"2021","10","20대","53","연구","540"
"2021","10","20대","54","당신","529"
"2021","10","20대","55","기억","527"
"2021","10","20대","56","사건","517"
"2021","10","20대","57","주식","509"
"2021","10","20대","58","기술","502"
"2021","10","20대","59","자기","496"
"2021","10","20대","60","순간","492"
"2021","10","20대","61","친구","472"
"2021","10","20대","61","고민","472"
"2021","10","20대","63","교수","469"
"2021","10","20대","64","언어","462"
"2021","10","20대","65","비밀","457"
"2021","10","20대","66","분야","456"
"2021","10","20대","67","처음","454"
"2021","10","20대","68","부동산","447"
"2021","10","20대","69","문장","436"
"2021","10","20대","70","이름","435"
"2021","10","20대","71","철학","432"
"2021","10","20대","71","방식","432"
"2021","10","20대","73","모습","430"
"2021","10","20대","74","장편소설","429"
"2021","10","20대","75","행동","427"
"2021","10","20대","76","노력","426"
"2021","10","20대","77","개인","423"
"2021","10","20대","78","시장","421"
"2021","10","20대","79","문학","420"
"2021","10","20대","80","이번","419"
"2021","10","20대","81","오늘","418"
"2021","10","20대","82","상황","413"
"2021","10","20대","83","가치","411"
"2021","10","20대","84","여행","405"
"2021","10","20대","85","사이","402"
"2021","10","20대","86","가족","400"
"2021","10","20대","87","인물","396"
"2021","10","20대","87","상처","396"
"2021","10","20대","89","활동","394"
"2021","10","20대","90","남자","390"
"2021","10","20대","91","핵심","388"
"2021","10","20대","92","수상","386"
"2021","10","20대","93","타인","385"
"2021","10","20대","93","기회","385"
"2021","10","20대","95","회사","384"
"2021","10","20대","96","설명","382"
"2021","10","20대","97","일상","379"
"2021","10","20대","98","여자","377"
"2021","10","20대","99","주인공","374"
"2021","10","20대","100","시절","372"
"2021","10","30대","1","아이","2814"
"2021","10","30대","2","사람","2028"
"2021","10","30대","3","엄마","1505"
"2021","10","30대","4","그림책","1407"
"2021","10","30대","5","어린이","1108"
"2021","10","30대","6","투자","1104"
"2021","10","30대","7","마음","1103"
"2021","10","30대","8","세계","1100"
"2021","10","30대","9","사랑","1037"
"2021","10","30대","9","시작","1037"
"2021","10","30대","11","자신","994"
"2021","10","30대","12","한자","971"
"2021","10","30대","13","독자","963"
"2021","10","30대","14","공부","903"
"2021","10","30대","15","생각","901"
"2021","10","30대","16","다양","888"
"2021","10","30대","17","과학","785"
"2021","10","30대","18","역사","772"
"2021","10","30대","19","학습","756"
"2021","10","30대","20","그림","751"
"2021","10","30대","21","방법","734"
"2021","10","30대","22","시리즈","725"
"2021","10","30대","23","아이들","722"
"2021","10","30대","24","부모","699"
"2021","10","30대","25","친구","677"
"2021","10","30대","26","아빠","676"
"2021","10","30대","27","시간","656"
"2021","10","30대","28","신화","654"
"2021","10","30대","29","만화","639"
"2021","10","30대","30","이유","632"
"2021","10","30대","31","영어","624"
"2021","10","30대","32","문제","583"
"2021","10","30대","33","학습만화","574"
"2021","10","30대","34","인생","568"
"2021","10","30대","35","모습","543"
"2021","10","30대","36","세상","532"
"2021","10","30대","37","필요","525"
"2021","10","30대","38","누구","517"
"2021","10","30대","39","부자","511"
"2021","10","30대","40","가지","509"
"2021","10","30대","41","이해","503"
"2021","10","30대","42","일본","502"
"2021","10","30대","43","행복","494"
"2021","10","30대","44","한국","482"
"2021","10","30대","45","사건","470"
"2021","10","30대","46","과정","468"
"2021","10","30대","47","질문","453"
"2021","10","30대","48","주식","451"
"2021","10","30대","49","상상력","450"
"2021","10","30대","50","읽기","443"
"2021","10","30대","51","여행","442"
"2021","10","30대","52","미국","428"
"2021","10","30대","53","최고","420"
"2021","10","30대","54","감정","417"
"2021","10","30대","55","초등","416"
"2021","10","30대","56","수상","411"
"2021","10","30대","56","마법","411"
"2021","10","30대","58","베스트셀러","403"
"2021","10","30대","59","시대","402"
"2021","10","30대","60","지식","400"
"2021","10","30대","61","이번","399"
"2021","10","30대","62","한국사","398"
"2021","10","30대","63","수학","393"
"2021","10","30대","64","가족","384"
"2021","10","30대","65","마법천자문","371"
"2021","10","30대","66","대한민국","369"
"2021","10","30대","67","어른","366"
"2021","10","30대","68","경험","362"
"2021","10","30대","69","비밀","355"
"2021","10","30대","70","교육","354"
"2021","10","30대","71","해결","344"
"2021","10","30대","72","정보","340"
"2021","10","30대","72","부동산","340"
"2021","10","30대","74","카카오프렌즈","337"
"2021","10","30대","75","고민","334"
"2021","10","30대","76","구성","329"
"2021","10","30대","77","캐릭터","327"
"2021","10","30대","78","처음","324"
"2021","10","30대","79","주인공","323"
"2021","10","30대","80","활용","322"
