,1위,2위,3위,4위,5위,6위,7위,8위,9위,10위,11위,12위,13위,14위,15위,16위,17위,18위,19위,20위,21위,22위,23위,24위,25위,26위,27위,28위,29위,30위,31위,32위,33위,34위,35위,36위,37위,38위,39위,40위,41위,42위,43위,44위,45위,46위,47위,48위,min,Q1,mean,Q3,max
10대 이하 여성,101.91,100.88,92.13,80.64,67.15,54.6,50.74,46.64,46.08,40.48,30.6,30.36,28.8,26.6,26.4,23.5,21.75,21.06,20.47,18.24,16.72,13.5,13.3,12.46,12.32,11.7,11.04,10.89,10.64,10.44,9.2,7.36,6.93,5.64,5.58,3.84,2.91,2.82,2.7,2,1.8,0.96,0.9,0,0,0,0,0,0,3.6075,12.39,29.19,101.91
20대 여성,529.92,413.66,347.4,323.1,291.64,277.53,240.96,229.9,225.25,225.12,201.16,192.66,189.9,188.48,183.92,181.7,167.32,166.5,155.48,114.54,112.14,94.24,93.12,88.88,88.11,83.52,82.8,79.8,73.92,73.5,69.92,69.75,69.3,68.31,66.88,64.99,64.8,62.08,56.7,49.82,47.94,42.3,37.44,34.56,22,0,0,0,0,64.9425,88.495,190.59,529.92
30대 여성,278.4,268.28,255.55,254.7,242.88,232.32,214.83,200.64,200.22,196.88,194.4,191.4,186.3,178.2,177.11,172.98,172.86,171.69,164.7,162,158.4,153.9,151.38,148.2,147.58,141.36,131.12,129.72,124.2,120.56,119.34,119,116.76,116.1,105.8,103.24,97.96,97.68,96.8,86.1,82.56,79.68,70,58.1,35.89,0,0,0,0,101.92,147.89,187.575,278.4
40대 여성,359.37,330.66,327.75,320.54,311.55,307.49,307.28,301.84,297.6,278.1,276.32,260.77,251.52,247.22,242.44,240.3,232.32,228.8,224,219.6,217.14,215.28,215.1,212.8,204.45,203.32,195.05,189.57,180.32,176.64,173.76,173.7,169.2,162,147.44,143.64,138.32,138.25,128.35,123.54,98,93.6,87.72,85.02,39.36,0,0,0,0,142.31,208.625,253.8325,359.37
50대 여성,188,175.57,173.9,172.8,170.88,159.3,151.47,150,144.15,143.1,138.6,128.8,124.96,123.3,121.44,116.56,113.16,109.44,108.3,101.46,100.28,96.57,93.28,91.8,91.2,89.1,78.85,76.54,75.05,72.9,70.56,65.8,62.56,61.44,61.2,60.59,54.81,54.32,51.3,48.45,48.4,48.36,43,40.28,29.76,0,0,0,0,59.145,91.5,125.92,188
60대 이상 여성,65,53.58,52.08,45,44.16,42.24,35.89,35.72,34.04,29.7,28.8,26.73,23.56,20.47,19.8,19.32,16.56,15.36,14.96,14.96,13.5,13.3,13.05,11.4,11.28,9.68,8.69,7.2,7.2,7.2,7.12,7.02,6.96,6.79,6.72,6.44,6.3,5.88,5.32,5.1,4.8,4.4,4.15,3.5,2.58,0,0,0,0,6.405,11.34,24.3525,65
10대 이하 남성,56.26,27.39,17.85,16.2,14.08,13.35,12.48,11.76,9.68,7.9,7.7,6.65,6.3,5.76,5.52,5.28,5.28,4.7,4.6,4.35,3.76,3.68,3.6,3.6,3.48,1.98,1.92,1.9,1.84,1.8,1.8,1.8,1.78,1.72,1.52,0.99,0.97,0.96,0.96,0.96,0,0,0,0,0,0,0,0,0,0.985,3.54,6.3875,56.26
20대 남성,369.57,162.68,150.54,130.5,126.72,124.08,108.8,95.23,88.2,86.13,82.32,80.75,77.28,74.8,73.5,67.86,65.32,61.2,55.3,54.56,40.48,39.6,35.88,35.6,35.1,34.2,33.6,32.4,32.4,32.4,31.68,30.08,30.08,28.13,22.36,22.04,21.78,19.76,19.2,19.2,18.9,18.8,18,17.67,16.32,0,0,0,0,21.975,35.35,78.1475,369.57
30대 남성,100.8,75.6,73.08,72.96,70.84,69.3,67.08,63.36,63,59.63,59.4,57.66,52.7,50.88,50.44,50.4,49.84,48.96,48.76,48.72,48.5,47.5,46.64,46.08,45.12,45.08,44,42.24,41.58,40.42,39.6,37.6,36.1,35.72,35,34.96,33.18,32.37,30.6,30.24,30.1,27.36,19.78,15.36,13.5,0,0,0,0,34.515,45.6,53.94,100.8
40대 남성,125.76,124.8,111.6,91.8,90.16,84.55,80.64,78.3,75.6,75.2,70,68.62,68.08,67.9,67.76,66,65.28,65.12,63,61.75,59.4,58.96,58.41,51.62,47.84,46.53,46.5,45.6,44.1,43.16,42.68,41.65,40.56,39.48,38.7,38.64,36.9,36.54,35.15,31.92,31.6,28.56,23.4,18.92,6.72,0,0,0,0,38.205,49.73,68.215,125.76
